id,dimension,text,reverse_scored,weight,intents
Q01,values_roles,爱人和我都喜欢同一类社会活动。,false,1.0,其他
Q02,communication,与配偶交谈是一件轻松愉快的事。,false,1.0,沟通质量
Q03,values_roles,我爱人与孩子在一起的时间太少。,true,1.0,其他
Q04,values_roles,我配偶对我很宽容或迁就。,false,1.0,其他
Q05,values_roles,我完全满意配偶对我的感情。,false,1.0,其他
Q06,values_roles,我们总是试图寻找解决矛盾的最佳方法。,false,1.0,其他
Q07,values_roles,我不喜欢配偶的性格和习惯。,true,1.0,亲密;兴趣与习惯;性沟通
Q08,intimacy,我们常试用些新方法提高性乐趣。,false,1.0,亲密;性沟通
Q09,values_roles,我有时希望配偶别乱花钱。,true,1.0,财务管理
Q10,values_roles,我的配偶试乎缺少时间和精力与我一起娱乐。,true,1.0,其他
Q11,values_roles,我宁愿去与别人聊天，也不愿意独自呆在家里。,true,1.0,其他
Q12,values_roles,我非常满意双方在婚姻中承担的责任。,false,1.0,价值观与角色
Q13,values_roles,我和配偶对怎样花钱的意见比较一致。,false,1.0,财务管理
Q14,parenting,我很满意我们对抚养子女的责任分工。,false,1.0,价值观与角色;子女教育;育儿分工
Q15,values_roles,共同的生活态度有助于我们的关系发展。,false,1.0,价值观与角色
Q16,values_roles,我对配偶承担家务感到满意。,false,1.0,价值观与角色
Q17,intimacy,我担心配偶可能在性方面对我不感兴趣。,true,1.0,亲密;兴趣与习惯;性沟通
Q18,values_roles,我们为亲友花费的时间很恰当。,false,1.0,其他
Q19,values_roles,对配偶兴趣或爱好过少，我很在意。,true,1.0,兴趣与习惯
Q20,values_roles,我在家里未受到应有的尊重。,true,1.0,其他
Q21,values_roles,我不喜欢配偶的某些生活习惯（吸烟、饮酒、不讲卫生等）。,true,1.0,兴趣与习惯
Q22,communication,我们夫妻之间缺乏交流和相互理解。,true,1.0,沟通质量
Q23,values_roles,我们家业余时间安排得很合理。,false,1.0,社交与支持
Q24,parenting,在管教子女方面，配偶和我意见一致。,false,1.0,子女教育;育儿分工
Q25,conflict,我不满意配偶解决冲突的方式。,true,1.0,冲突管理;问题解决
Q26,values_roles,我们夫妻的性格比较合得来。,false,1.0,亲密;性沟通
Q27,values_roles,对于家庭应存在多少钱的决定，我感到满意。,false,1.0,财务管理
Q28,conflict,我配偶常以攻击或要挟的方式来解决冲突。,true,1.0,冲突管理;问题解决
Q29,conflict,我的配偶有时发表一些贬低的意见。,true,1.0,其他
